Fecha,Estado_Actual,diadelasemana,findesemana
2020-12-02,2.0883414123609123,2,0
2020-12-03,2.1733230552491327,3,0
2020-12-04,1.9266396393993546,4,0
2020-12-05,1.5505346618871134,5,1
2020-12-06,1.421881806301728,6,1
2020-12-07,2.036803479206306,0,0
2020-12-08,1.6218642766487519,1,0
2020-12-09,2.101012116134009,2,0
2020-12-10,2.151575055839388,3,0
2020-12-11,2.0186973716068977,4,0
2020-12-12,1.6210583070168683,5,1
2020-12-13,1.464885445416154,6,1
2020-12-14,2.0380612192579175,0,0
2020-12-15,2.0790521007531857,1,0
2020-12-16,2.1274873308101867,2,0
2020-12-17,2.1817183783359906,3,0
2020-12-18,2.0881969415576718,4,0
2020-12-19,1.6706531212939546,5,1
2020-12-20,1.5078288702997904,6,1
2020-12-21,2.093509278132197,0,0
2020-12-22,2.0157197274531895,1,0
2020-12-23,2.018650695982717,2,0
2020-12-24,1.8156167979002624,3,0
2020-12-25,1.5554043650296314,4,0
2020-12-26,1.5388668192835981,5,1
2020-12-27,1.4766495774352155,6,1
2020-12-28,1.8482607804278002,0,0
2020-12-29,1.8483354725946965,1,0
2020-12-30,1.8782436483498597,2,0
2020-12-31,1.7487440672791363,3,0
